TNet_pehe_in,SNet1_pehe_in,SNet2_pehe_in,SNet3_pehe_in,SNet_pehe_in,PseudoOutcomeNet_DR_pehe_in,PseudoOutcomeNet_PW_pehe_in,PseudoOutcomeNet_RA_pehe_in,PseudoOutcomeNet_RA_S2_pehe_in,TNet_pehe_out,SNet1_pehe_out,SNet2_pehe_out,SNet3_pehe_out,SNet_pehe_out,PseudoOutcomeNet_DR_pehe_out,PseudoOutcomeNet_PW_pehe_out,PseudoOutcomeNet_RA_pehe_out,PseudoOutcomeNet_RA_S2_pehe_out,TNet_att_true_in,SNet1_att_true_in,SNet2_att_true_in,SNet3_att_true_in,SNet_att_true_in,PseudoOutcomeNet_DR_att_true_in,PseudoOutcomeNet_PW_att_true_in,PseudoOutcomeNet_RA_att_true_in,PseudoOutcomeNet_RA_S2_att_true_in,TNet_att_pred_in,SNet1_att_pred_in,SNet2_att_pred_in,SNet3_att_pred_in,SNet_att_pred_in,PseudoOutcomeNet_DR_att_pred_in,PseudoOutcomeNet_PW_att_pred_in,PseudoOutcomeNet_RA_att_pred_in,PseudoOutcomeNet_RA_S2_att_pred_in,TNet_error_att_in,SNet1_error_att_in,SNet2_error_att_in,SNet3_error_att_in,SNet_error_att_in,PseudoOutcomeNet_DR_error_att_in,PseudoOutcomeNet_PW_error_att_in,PseudoOutcomeNet_RA_error_att_in,PseudoOutcomeNet_RA_S2_error_att_in,TNet_att_true_out,SNet1_att_true_out,SNet2_att_true_out,SNet3_att_true_out,SNet_att_true_out,PseudoOutcomeNet_DR_att_true_out,PseudoOutcomeNet_PW_att_true_out,PseudoOutcomeNet_RA_att_true_out,PseudoOutcomeNet_RA_S2_att_true_out,TNet_att_pred_out,SNet1_att_pred_out,SNet2_att_pred_out,SNet3_att_pred_out,SNet_att_pred_out,PseudoOutcomeNet_DR_att_pred_out,PseudoOutcomeNet_PW_att_pred_out,PseudoOutcomeNet_RA_att_pred_out,PseudoOutcomeNet_RA_S2_att_pred_out,TNet_error_att_out,SNet1_error_att_out,SNet2_error_att_out,SNet3_error_att_out,SNet_error_att_out,PseudoOutcomeNet_DR_error_att_out,PseudoOutcomeNet_PW_error_att_out,PseudoOutcomeNet_RA_error_att_out,PseudoOutcomeNet_RA_S2_error_att_out
1.9878241,2.0664818,2.0386791,1.781845,1.9346062,2.1451728,2.6466131,2.171861,2.080169,2.218041,2.307243,2.2761745,2.0675108,2.2481453,2.4227264,2.8641777,2.4669116,2.3495295,4.4591377770780865,4.4591377770780865,4.4591377770780865,4.4591377770780865,4.4591377770780865,4.4591377770780865,4.4591377770780865,4.4591377770780865,4.4591377770780865,4.3370023,4.3542075,4.3944373,4.3057995,4.1880226,4.2450614,4.4467006,4.4395947,4.376852,0.12213564,0.1049304,0.0647006,0.15333843,0.2711153,0.21407652,0.012437344,0.01954317,0.08228588,4.003145893009985,4.003145893009985,4.003145893009985,4.003145893009985,4.003145893009985,4.003145893009985,4.003145893009985,4.003145893009985,4.003145893009985,3.8427694,4.0400286,3.9993725,3.973963,3.8277085,3.787542,3.2156272,3.9323132,3.8991022,0.16037631,0.036882877,0.0037732124,0.029182673,0.17543721,0.21560359,0.7875185,0.07083249,0.104043484
2.0464787,1.9249698,1.9147093,1.914854,1.9451004,2.0948524,2.5092087,2.188724,2.0506275,2.1125617,2.1357818,2.1425009,2.096436,2.1593924,2.107598,2.5452077,2.2352853,2.160847,4.351827080021199,4.351827080021199,4.351827080021199,4.351827080021199,4.351827080021199,4.351827080021199,4.351827080021199,4.351827080021199,4.351827080021199,4.4665017,4.3958836,4.4280915,4.346579,4.406747,4.3457046,4.704367,4.5927563,4.5422845,0.11467457,0.044056416,0.07626438,0.0052480698,0.05491972,0.006122589,0.35254002,0.24092913,0.19045734,4.066638642857143,4.066638642857143,4.066638642857143,4.066638642857143,4.066638642857143,4.066638642857143,4.066638642857143,4.066638642857143,4.066638642857143,4.045512,3.939378,3.9193797,3.9773862,4.1601267,4.0180607,3.8209908,4.1263638,4.016199,0.02112627,0.12726045,0.14725876,0.08925223,0.09348822,0.048577785,0.24564767,0.059725285,0.050439358
1.4959956,1.5736169,1.5784174,1.4929956,1.5812168,1.6434275,2.256302,1.6403291,1.5815555,1.6940181,1.7661203,1.7694426,1.6626117,1.7057211,1.7995038,2.2008882,1.8552226,1.7753794,2.757149783523752,2.757149783523752,2.757149783523752,2.757149783523752,2.757149783523752,2.757149783523752,2.757149783523752,2.757149783523752,2.757149783523752,2.6073675,2.671922,2.7187448,2.682492,2.7141852,2.6910052,3.420579,2.7966127,2.724631,0.14978218,0.08522773,0.03840494,0.07465768,0.04296446,0.06614447,0.66342926,0.039463043,0.032518625,2.723684571823205,2.723684571823205,2.723684571823205,2.723684571823205,2.723684571823205,2.723684571823205,2.723684571823205,2.723684571823205,2.723684571823205,2.6439238,2.7614176,2.7260299,2.6957157,2.745652,2.726713,2.7141652,2.862121,2.8301625,0.07976079,0.037733078,0.0023453236,0.027968884,0.021967411,0.0030283928,0.009519339,0.13843656,0.106477976
1.9005395,2.0054562,1.9891073,1.8022708,1.6740843,2.025217,2.5681522,2.0190625,2.0123467,2.013286,2.1827402,2.1709073,1.9494919,1.8980448,2.183246,2.583971,2.1839824,2.1550105,3.2726503076923077,3.2726503076923077,3.2726503076923077,3.2726503076923077,3.2726503076923077,3.2726503076923077,3.2726503076923077,3.2726503076923077,3.2726503076923077,3.290448,3.211517,3.221538,3.2954986,3.0385358,3.0782244,3.5777338,3.174701,3.160542,0.017797709,0.061133146,0.051112175,0.022848368,0.23411441,0.19442582,0.3050835,0.09794927,0.11210823,3.0792110084033615,3.0792110084033615,3.0792110084033615,3.0792110084033615,3.0792110084033615,3.0792110084033615,3.0792110084033615,3.0792110084033615,3.0792110084033615,2.9753876,3.032195,2.9911194,3.1217608,2.8354726,2.7683468,2.6126773,2.8597987,2.8435004,0.10382342,0.047015905,0.08809161,0.04254985,0.24373841,0.3108642,0.46653366,0.21941233,0.23571062
2.1379454,2.1019106,2.082704,2.0029378,2.1696353,2.2151866,2.7187705,2.2228508,2.124953,2.4008775,2.3785043,2.3663,2.244523,2.408108,2.421008,2.7554696,2.5062792,2.3591802,4.989476856540084,4.989476856540084,4.989476856540084,4.989476856540084,4.989476856540084,4.989476856540084,4.989476856540084,4.989476856540084,4.989476856540084,5.2514772,4.9567037,4.9237537,4.8036733,5.2670965,4.9410315,4.6303663,5.1156173,4.868746,0.26200056,0.032773018,0.06572294,0.18580341,0.27761984,0.048445225,0.35911036,0.1261406,0.12073088,4.689733683544303,4.689733683544303,4.689733683544303,4.689733683544303,4.689733683544303,4.689733683544303,4.689733683544303,4.689733683544303,4.689733683544303,4.971705,4.6419764,4.5679483,4.5447464,4.9934726,4.7459416,3.793054,4.871747,4.576544,0.28197145,0.04775715,0.121785164,0.1449871,0.30373907,0.056208134,0.8966794,0.18201351,0.1131897
2.439952,2.2691638,2.2419384,2.3128784,2.354203,2.5701473,3.1046832,2.5688157,2.3239071,2.6648536,2.5299878,2.5162392,2.5595238,2.6339777,2.638614,3.163617,2.8145452,2.5745993,4.80682325729443,4.80682325729443,4.80682325729443,4.80682325729443,4.80682325729443,4.80682325729443,4.80682325729443,4.80682325729443,4.80682325729443,5.1133347,4.9977527,5.01433,4.9883323,4.9251795,4.9154096,4.7117143,5.105047,5.1412725,0.3065114,0.19092941,0.20750666,0.18150902,0.11835623,0.10858631,0.095108986,0.29822397,0.3344493,4.634493040865385,4.634493040865385,4.634493040865385,4.634493040865385,4.634493040865385,4.634493040865385,4.634493040865385,4.634493040865385,4.634493040865385,5.0192437,4.9673905,4.9312534,4.7925916,4.956741,4.7975783,3.9483352,5.06033,4.927428,0.38475084,0.33289766,0.29676056,0.1580987,0.32224798,0.16308546,0.6861577,0.42583704,0.2929349
1.6014682,1.5837879,1.5758501,1.5482532,1.6227669,1.687803,2.1500988,1.7251854,1.5647128,1.6264894,1.6733257,1.6744223,1.6551067,1.7566315,1.7275593,2.1182938,1.820718,1.6367716,2.8186655942376952,2.8186655942376952,2.8186655942376952,2.8186655942376952,2.8186655942376952,2.8186655942376952,2.8186655942376952,2.8186655942376952,2.8186655942376952,2.6584187,2.7876637,2.838458,2.8822315,2.9183798,2.9109783,2.9390905,2.6475492,2.8409145,0.16024685,0.031001806,0.019792557,0.06356597,0.09971428,0.09231281,0.120424986,0.17111635,0.022248983,2.939518190348526,2.939518190348526,2.939518190348526,2.939518190348526,2.939518190348526,2.939518190348526,2.939518190348526,2.939518190348526,2.939518190348526,2.841789,2.831591,2.817481,3.0169683,3.0421185,3.1087391,2.442651,2.8656907,2.8990495,0.097729206,0.10792732,0.12203717,0.07745004,0.102600336,0.16922092,0.49686718,0.073827505,0.040468693
1.9421662,2.098786,2.102183,1.9282732,2.0027921,2.0866807,2.8740666,2.141712,2.138893,1.9970518,2.1821084,2.1863341,2.0790575,2.1431334,2.1303833,2.9052117,2.2367818,2.2147279,2.7173025942211053,2.7173025942211053,2.7173025942211053,2.7173025942211053,2.7173025942211053,2.7173025942211053,2.7173025942211053,2.7173025942211053,2.7173025942211053,2.3051188,2.5423272,2.5343034,2.46901,2.3753202,2.3820295,2.8831823,2.3378868,2.553337,0.41218376,0.1749754,0.18299913,0.24829245,0.34198236,0.33527303,0.16587973,0.37941575,0.16396546,2.899489,2.899489,2.899489,2.899489,2.899489,2.899489,2.899489,2.899489,2.899489,2.452029,2.7343004,2.673647,2.5947423,2.3946702,2.5196638,2.354184,2.488505,2.7274518,0.44745994,0.16518855,0.225842,0.30474663,0.5048187,0.37982512,0.545305,0.41098404,0.17203712
2.042047,1.9951898,1.9882711,2.1321104,2.135573,2.1965525,2.8341393,2.156851,2.0719845,2.237961,2.226279,2.2238767,2.3552704,2.3869662,2.3203852,2.7936604,2.3510342,2.283796,4.69246954973822,4.69246954973822,4.69246954973822,4.69246954973822,4.69246954973822,4.69246954973822,4.69246954973822,4.69246954973822,4.69246954973822,4.6360264,4.683072,4.6301622,4.995449,4.8608723,4.907572,4.902456,4.7606297,4.8649573,0.056443214,0.009397507,0.062307358,0.30297947,0.16840267,0.2151022,0.20998621,0.06816006,0.17248774,4.892130604651163,4.892130604651163,4.892130604651163,4.892130604651163,4.892130604651163,4.892130604651163,4.892130604651163,4.892130604651163,4.892130604651163,4.7701616,4.8683243,4.793323,5.173361,4.946179,4.9834986,4.323963,4.8453274,4.958158,0.121968746,0.023806095,0.098807335,0.28123045,0.05404854,0.0913682,0.5681672,0.046802998,0.06602764
1.3390074,1.3855451,1.350795,1.3832471,1.3553984,1.5184648,2.2632763,1.5251875,1.3675222,1.4091136,1.4894259,1.452148,1.4675901,1.4414766,1.591961,2.1769938,1.6218405,1.4378304,2.92530554524362,2.92530554524362,2.92530554524362,2.92530554524362,2.92530554524362,2.92530554524362,2.92530554524362,2.92530554524362,2.92530554524362,3.0140178,3.0027525,3.1586962,3.1902468,3.029779,3.0826838,2.957343,3.1398637,3.120422,0.088712215,0.07744694,0.23339057,0.26494122,0.10447335,0.1573782,0.032037497,0.21455812,0.19511628,2.8396207472826087,2.8396207472826087,2.8396207472826087,2.8396207472826087,2.8396207472826087,2.8396207472826087,2.8396207472826087,2.8396207472826087,2.8396207472826087,3.0213902,2.9494193,3.0547154,3.1296659,3.0141501,3.069681,2.286428,3.1136284,3.047502,0.18176937,0.10979843,0.21509457,0.29004502,0.17452931,0.2300601,0.55319285,0.27400756,0.20788121
