TNet_pehe_in,SNet1_pehe_in,SNet2_pehe_in,SNet3_pehe_in,SNet_pehe_in,PseudoOutcomeNet_DR_pehe_in,PseudoOutcomeNet_PW_pehe_in,PseudoOutcomeNet_RA_pehe_in,PseudoOutcomeNet_RA_S2_pehe_in,TNet_pehe_out,SNet1_pehe_out,SNet2_pehe_out,SNet3_pehe_out,SNet_pehe_out,PseudoOutcomeNet_DR_pehe_out,PseudoOutcomeNet_PW_pehe_out,PseudoOutcomeNet_RA_pehe_out,PseudoOutcomeNet_RA_S2_pehe_out,TNet_att_true_in,SNet1_att_true_in,SNet2_att_true_in,SNet3_att_true_in,SNet_att_true_in,PseudoOutcomeNet_DR_att_true_in,PseudoOutcomeNet_PW_att_true_in,PseudoOutcomeNet_RA_att_true_in,PseudoOutcomeNet_RA_S2_att_true_in,TNet_att_pred_in,SNet1_att_pred_in,SNet2_att_pred_in,SNet3_att_pred_in,SNet_att_pred_in,PseudoOutcomeNet_DR_att_pred_in,PseudoOutcomeNet_PW_att_pred_in,PseudoOutcomeNet_RA_att_pred_in,PseudoOutcomeNet_RA_S2_att_pred_in,TNet_error_att_in,SNet1_error_att_in,SNet2_error_att_in,SNet3_error_att_in,SNet_error_att_in,PseudoOutcomeNet_DR_error_att_in,PseudoOutcomeNet_PW_error_att_in,PseudoOutcomeNet_RA_error_att_in,PseudoOutcomeNet_RA_S2_error_att_in,TNet_att_true_out,SNet1_att_true_out,SNet2_att_true_out,SNet3_att_true_out,SNet_att_true_out,PseudoOutcomeNet_DR_att_true_out,PseudoOutcomeNet_PW_att_true_out,PseudoOutcomeNet_RA_att_true_out,PseudoOutcomeNet_RA_S2_att_true_out,TNet_att_pred_out,SNet1_att_pred_out,SNet2_att_pred_out,SNet3_att_pred_out,SNet_att_pred_out,PseudoOutcomeNet_DR_att_pred_out,PseudoOutcomeNet_PW_att_pred_out,PseudoOutcomeNet_RA_att_pred_out,PseudoOutcomeNet_RA_S2_att_pred_out,TNet_error_att_out,SNet1_error_att_out,SNet2_error_att_out,SNet3_error_att_out,SNet_error_att_out,PseudoOutcomeNet_DR_error_att_out,PseudoOutcomeNet_PW_error_att_out,PseudoOutcomeNet_RA_error_att_out,PseudoOutcomeNet_RA_S2_error_att_out
0.5764654,0.6259557,0.6066948,0.6400456,0.61808646,0.593443,0.6698369,0.5964065,0.5650906,0.57736385,0.7157772,0.695722,0.7068614,0.65749115,0.62471163,0.671495,0.63242763,0.60487175,1.4918276198700806,1.4918276198700806,1.4918276198700806,1.4918276198700806,1.4918276198700806,1.4918276198700806,1.4918276198700806,1.4918276198700806,1.4918276198700806,1.4688413,1.495391,1.4973636,1.5319688,1.5400213,1.5740976,1.446795,1.5025457,1.5122837,0.022986293,0.003563404,0.00553596,0.040141225,0.048193693,0.082270026,0.04503262,0.010718107,0.020456076,1.5005125648695157,1.5005125648695157,1.5005125648695157,1.5005125648695157,1.5005125648695157,1.5005125648695157,1.5005125648695157,1.5005125648695157,1.5005125648695157,1.3499966,1.3948025,1.4064245,1.4945446,1.4338874,1.5084453,1.235045,1.425863,1.4565654,0.15051603,0.10571015,0.09408808,0.0059679747,0.06662524,0.007932663,0.26546764,0.07464957,0.04394722
0.59946984,0.6492199,0.64476645,0.6219601,0.61489016,0.60225725,0.6735194,0.61454225,0.5689845,0.6051383,0.6704748,0.6611159,0.65697783,0.6675189,0.6480081,0.7153943,0.6662047,0.61949927,1.5118080653344335,1.5118080653344335,1.5118080653344335,1.5118080653344335,1.5118080653344335,1.5118080653344335,1.5118080653344335,1.5118080653344335,1.5118080653344335,1.4862692,1.454146,1.5011231,1.4836411,1.5170423,1.5716702,1.4446002,1.4983699,1.4744049,0.025538802,0.05766201,0.010684967,0.02816689,0.0052342415,0.059862137,0.06720781,0.013438106,0.037403107,1.541414060417227,1.541414060417227,1.541414060417227,1.541414060417227,1.541414060417227,1.541414060417227,1.541414060417227,1.541414060417227,1.541414060417227,1.4014627,1.3795311,1.4305978,1.4554136,1.4478097,1.5151286,1.2437012,1.4243741,1.4100974,0.13995135,0.16188288,0.11081624,0.08600044,0.093604326,0.02628541,0.2977128,0.11703992,0.13131666
0.57960755,0.6725686,0.6675885,0.6131229,0.6584394,0.62114173,0.6838491,0.6095823,0.5855848,0.5797096,0.73339444,0.7268634,0.65348464,0.7236636,0.6940028,0.7417217,0.67869407,0.64519215,1.5534107874193561,1.5534107874193561,1.5534107874193561,1.5534107874193561,1.5534107874193561,1.5534107874193561,1.5534107874193561,1.5534107874193561,1.5534107874193561,1.4889653,1.5013853,1.4972241,1.5153046,1.5485868,1.5142467,1.5503409,1.4775454,1.4951317,0.064445496,0.052025437,0.056186676,0.038106203,0.004823923,0.039164066,0.0030698776,0.07586539,0.058279037,1.5289234087243575,1.5289234087243575,1.5289234087243575,1.5289234087243575,1.5289234087243575,1.5289234087243575,1.5289234087243575,1.5289234087243575,1.5289234087243575,1.4254652,1.4578305,1.4490752,1.457804,1.4833733,1.4880403,1.3724575,1.4514529,1.483142,0.103458166,0.071092844,0.07984817,0.07111943,0.045550108,0.040883064,0.15646589,0.07747054,0.045781374
0.5518122,0.6630451,0.6433797,0.61652744,0.5905935,0.5504371,0.6405955,0.572545,0.5430688,0.5552445,0.72344774,0.7022433,0.6699038,0.65426373,0.61970645,0.6926415,0.6329774,0.613446,1.3969463275915126,1.3969463275915126,1.3969463275915126,1.3969463275915126,1.3969463275915126,1.3969463275915126,1.3969463275915126,1.3969463275915126,1.3969463275915126,1.2921507,1.2935761,1.2850215,1.3534162,1.3865258,1.344167,1.3851628,1.3001292,1.2907426,0.104795575,0.10337019,0.11192477,0.043530107,0.010420561,0.052779317,0.011783481,0.096817136,0.106203675,1.4352505930373165,1.4352505930373165,1.4352505930373165,1.4352505930373165,1.4352505930373165,1.4352505930373165,1.4352505930373165,1.4352505930373165,1.4352505930373165,1.2491442,1.175092,1.1714783,1.278755,1.3537662,1.3214995,1.2128613,1.2665509,1.2540299,0.18610644,0.26015866,0.26377237,0.15649569,0.08148444,0.11375117,0.22238934,0.16869974,0.18122077
0.57380044,0.6361412,0.6360405,0.6567893,0.6144371,0.61155736,0.74853975,0.6023818,0.5695176,0.5993539,0.7190151,0.7176574,0.74542654,0.68054175,0.67742497,0.8016219,0.6679397,0.64307266,1.4534425199329712,1.4534425199329712,1.4534425199329712,1.4534425199329712,1.4534425199329712,1.4534425199329712,1.4534425199329712,1.4534425199329712,1.4534425199329712,1.4319245,1.400391,1.4046379,1.3577302,1.5254169,1.4405254,1.4767619,1.4261657,1.435704,0.021518111,0.05305159,0.04880464,0.09571242,0.07197428,0.012917161,0.023319364,0.027276874,0.01773858,1.4873156454165362,1.4873156454165362,1.4873156454165362,1.4873156454165362,1.4873156454165362,1.4873156454165362,1.4873156454165362,1.4873156454165362,1.4873156454165362,1.378781,1.3508625,1.354811,1.3609407,1.5124077,1.3961611,1.2081103,1.3799009,1.3913568,0.10853469,0.13645315,0.1325047,0.12637496,0.025092006,0.091154575,0.27920532,0.10741472,0.09595883
0.54113847,0.5970807,0.5973758,0.61082804,0.62031925,0.58180964,0.864132,0.58714825,0.5508266,0.5362876,0.65335006,0.651488,0.67664677,0.71118957,0.62067264,0.81492287,0.62367785,0.6059861,1.5098170299847369,1.5098170299847369,1.5098170299847369,1.5098170299847369,1.5098170299847369,1.5098170299847369,1.5098170299847369,1.5098170299847369,1.5098170299847369,1.4720194,1.5420305,1.5602332,1.5069903,1.598783,1.4819483,1.5310434,1.4740797,1.5213115,0.03779757,0.03221345,0.05041623,0.0028266907,0.08896601,0.027868748,0.021226406,0.035737276,0.011494517,1.492387959166213,1.492387959166213,1.492387959166213,1.492387959166213,1.492387959166213,1.492387959166213,1.492387959166213,1.492387959166213,1.492387959166213,1.3889883,1.4617614,1.4735122,1.4290743,1.5871329,1.4028257,1.2035059,1.391514,1.4275792,0.10339975,0.030626655,0.018875837,0.06331372,0.09474492,0.0895623,0.28888214,0.10087407,0.064808846
0.5960128,0.6286545,0.61918473,0.66333616,0.6540844,0.6242477,0.700348,0.62690276,0.58631897,0.61591935,0.723717,0.7095953,0.73467547,0.7495627,0.66985536,0.7214512,0.6809561,0.6532587,1.4536565971212039,1.4536565971212039,1.4536565971212039,1.4536565971212039,1.4536565971212039,1.4536565971212039,1.4536565971212039,1.4536565971212039,1.4536565971212039,1.3934125,1.438894,1.4674554,1.3742204,1.5249861,1.5056952,1.5250336,1.4178233,1.4812437,0.060244083,0.014762521,0.013798833,0.07943618,0.07132959,0.05203867,0.07137704,0.03583324,0.027587175,1.443838591288619,1.443838591288619,1.443838591288619,1.443838591288619,1.443838591288619,1.443838591288619,1.443838591288619,1.443838591288619,1.443838591288619,1.305313,1.4318165,1.4707679,1.406061,1.5161967,1.4175311,1.3130955,1.3247072,1.4154147,0.1385256,0.012022138,0.02692926,0.037777543,0.07235813,0.026307464,0.13074315,0.119131446,0.028423905
0.5621102,0.64011246,0.6369289,0.63731706,0.596133,0.5726895,0.6995391,0.5896957,0.56993574,0.5773099,0.6876785,0.6824722,0.71466315,0.6503233,0.62773263,0.7248562,0.6436294,0.63602924,1.557086226522966,1.557086226522966,1.557086226522966,1.557086226522966,1.557086226522966,1.557086226522966,1.557086226522966,1.557086226522966,1.557086226522966,1.4192858,1.4809813,1.4736704,1.479821,1.5394057,1.5031896,1.3952981,1.4306605,1.4670293,0.13780046,0.07610488,0.083415866,0.07726526,0.017680526,0.053896666,0.1617881,0.12642574,0.090056896,1.5379650400744456,1.5379650400744456,1.5379650400744456,1.5379650400744456,1.5379650400744456,1.5379650400744456,1.5379650400744456,1.5379650400744456,1.5379650400744456,1.3719167,1.4366195,1.4263214,1.452241,1.4867159,1.4851146,1.2292696,1.4064636,1.4236672,0.16604841,0.10134554,0.11164367,0.085724115,0.051249146,0.052850485,0.30869544,0.13150144,0.11429787
0.57405484,0.6044283,0.59304005,0.61422724,0.6163951,0.5938334,0.84756655,0.58419526,0.53601444,0.58795774,0.6597526,0.64238214,0.70805293,0.67552716,0.652933,0.8602163,0.64039934,0.6092374,1.5503609930663695,1.5503609930663695,1.5503609930663695,1.5503609930663695,1.5503609930663695,1.5503609930663695,1.5503609930663695,1.5503609930663695,1.5503609930663695,1.4717942,1.47892,1.4654577,1.3968843,1.4970367,1.5298191,1.6212761,1.4850758,1.4486129,0.07856679,0.071441054,0.08490336,0.15347672,0.05332434,0.020541906,0.0709151,0.065285206,0.10174811,1.5415806975107225,1.5415806975107225,1.5415806975107225,1.5415806975107225,1.5415806975107225,1.5415806975107225,1.5415806975107225,1.5415806975107225,1.5415806975107225,1.4162114,1.4270121,1.4198353,1.3619838,1.5047009,1.4935513,1.2887439,1.4502798,1.4222462,0.12536931,0.11456859,0.12174535,0.1795969,0.036879778,0.048029423,0.25283682,0.091300845,0.11933446
0.57525384,0.62289256,0.60959446,0.6341996,0.63742495,0.5855162,0.69817,0.60596305,0.5507283,0.55488545,0.69000113,0.6743049,0.6958474,0.6794601,0.5900673,0.6897474,0.6082668,0.58256364,1.5609336484564886,1.5609336484564886,1.5609336484564886,1.5609336484564886,1.5609336484564886,1.5609336484564886,1.5609336484564886,1.5609336484564886,1.5609336484564886,1.4690505,1.5283577,1.550056,1.5385158,1.5086117,1.5642825,1.4346225,1.4868581,1.5182132,0.09188306,0.032575846,0.010877609,0.022417784,0.05232191,0.0033489466,0.12631106,0.07407546,0.042720437,1.5676140631801214,1.5676140631801214,1.5676140631801214,1.5676140631801214,1.5676140631801214,1.5676140631801214,1.5676140631801214,1.5676140631801214,1.5676140631801214,1.4001848,1.5393059,1.5528834,1.5110848,1.4366761,1.5269762,1.2525195,1.435833,1.4924327,0.16742933,0.028308153,0.014730692,0.056529284,0.13093793,0.04063785,0.3150946,0.1317811,0.075181365
